Elem,Rgn,ID,      WIGOS_ID        ,Latitude,Longitude,Elevation,   Country,                 Station                        , Jan  , Feb   , Mar   , Apr   , May   , Jun   , Jul   , Aug   , Sep   , Oct   , Nov   , Dec   , Annual
002,1,00060620,0-20000-0-60620     ,  27.837,  -0.194,  279.2,Algeria                       ,Adrar                         ,     0.4,     0.3,     0.3,     0.3,     0.2,     0.1,     0.1,     0.3,     0.5,     0.4,     0.4,     0.1,     3.4
002,1,00060560,0-20000-0-60560     ,  32.752,  -0.594, 1076.0,Algeria                       ,AinSefra                      ,     2.8,     2.4,     3.1,     2.5,     2.1,     1.4,     1.1,     2.9,     3.7,     3.2,     2.9,     2.3,    30.4
002,1,00060390,0-20000-0-60390     ,  36.690,   3.217,   25.0,Algeria                       ,AlgerDarElBeida               ,     8.4,     8.7,     7.0,     6.1,     4.3,     1.4,     0.4,     1.4,     4.0,     5.4,     9.2,     8.2,    64.5
002,1,00060360,0-20000-0-60360     ,  36.822,   7.803,    3.0,Algeria                       ,Annaba                        ,    10.3,    10.2,     8.2,     7.0,     4.7,     2.0,     0.6,     1.8,     6.2,     7.2,    10.0,    10.8,    79.0
002,1,00060468,0-20000-0-60468     ,  35.761,   6.320,  821.3,Algeria                       ,Batna                         ,     5.1,     4.6,     5.5,     5.2,     5.1,     2.2,     1.7,     3.0,     4.6,     4.2,     4.3,     5.2,    50.7
002,1,00060444,0-20000-0-60444     ,  36.068,   4.794,  955.0,Algeria                       ,BBArreridj                    ,     6.4,     5.9,     5.9,     5.4,     5.2,     3.1,     1.7,     2.6,     5.0,     4.8,     5.8,     5.9,    57.7
002,1,00060686,0-20000-0-60686     ,  21.376,   0.932,  395.0,Algeria                       ,BBMokhtar                     ,     0.2,     0.2,     0.3,     0.1,     0.1,     0.4,     1.3,     2.4,     1.2,     0.3,     0.2,     0.0,     6.7
002,1,00060571,0-20000-0-60571     ,  31.654,  -2.252,  808.6,Algeria                       ,Bechar                        ,     1.3,     1.3,     1.6,     1.1,     1.1,     0.8,     0.6,     1.3,     2.0,     2.0,     1.7,     1.2,    16.0
002,1,00060402,0-20000-0-60402     ,  36.716,   5.075,    1.8,Algeria                       ,BejaiaAeroport                ,     9.8,     9.3,     7.9,     7.0,     5.2,     2.2,     0.8,     2.1,     5.4,     6.6,     8.5,     9.2,    74.0
002,1,00060602,0-20000-0-60602     ,  30.128,  -2.149,  510.0,Algeria                       ,BeniAbbes                     ,     0.6,     0.6,     0.6,     0.5,     0.4,     0.2,     0.1,     0.6,     1.2,     0.7,     0.6,     0.4,     6.5
002,1,00060518,0-20000-0-60518     ,  35.301,  -1.395,   68.0,Algeria                       ,BeniSaf                       ,     6.2,     5.6,     4.5,     4.9,     2.9,     0.7,     0.6,     0.5,     2.2,     4.3,     5.5,     5.5,    43.4
002,1,00060525,0-20000-0-60525     ,  34.795,   5.731,   82.0,Algeria                       ,Biskra                        ,     2.2,     1.6,     2.1,     2.0,     1.6,     0.6,     0.2,     0.7,     2.9,     2.0,     1.6,     2.0,    19.5
002,1,00060425,0-20000-0-60425     ,  36.216,   1.322,  159.0,Algeria                       ,Chlef                         ,     7.5,     7.2,     6.2,     5.8,     3.7,     1.1,     0.4,     0.9,     2.6,     4.2,     7.6,     6.3,    53.5
002,1,00060419,0-20000-0-60419     ,  36.278,   6.628,  685.2,Algeria                       ,Constantine                   ,     8.1,     7.7,     7.5,     7.0,     5.4,     2.8,     1.0,     2.4,     4.8,     5.2,     6.0,     8.1,    66.0
002,1,00060670,0-20000-0-60670     ,  24.288,   9.468,  968.0,Algeria                       ,Djanet                        ,     0.3,     0.2,     0.3,     0.2,     0.6,     0.5,     0.1,     0.2,     0.4,     0.6,     0.0,     0.0,     3.4
002,1,00060535,0-20000-0-60535     ,  34.654,   3.281, 1180.0,Algeria                       ,Djelfa                        ,     5.9,     4.8,     5.0,     4.4,     4.5,     2.7,     2.1,     3.4,     4.4,     4.5,     4.3,     5.3,    51.3
002,1,00060550,0-20000-0-60550     ,  33.720,   1.095, 1361.0,Algeria                       ,ElBayadh                      ,     5.2,     3.9,     4.9,     4.7,     3.3,     2.4,     1.7,     3.6,     4.3,     4.1,     4.1,     5.3,    47.5
002,1,00060590,0-20000-0-60590     ,  30.573,   2.868,  397.0,Algeria                       ,ElGolea                       ,     0.9,     0.4,     0.9,     0.4,     0.5,     0.2,     0.0,     0.2,     0.8,     0.8,     0.9,     0.7,     6.7
002,1,00060540,0-20000-0-60540     ,  34.154,   0.065, 1000.0,Algeria                       ,ElKheiter                     ,     3.8,     3.5,     3.7,     4.2,     3.5,     2.1,     1.5,     3.2,     4.4,     4.0,     3.7,     3.7,    41.3
002,1,00060559,0-20000-0-60559     ,  33.506,   6.788,   63.0,Algeria                       ,ElOued                        ,     1.5,     0.9,     1.6,     1.1,     0.6,     0.2,     0.1,     0.5,     1.5,     1.2,     1.0,     1.0,    11.2
002,1,00060566,0-20000-0-60566     ,  32.386,   3.784,  466.0,Algeria                       ,Ghardaia                      ,     1.4,     0.7,     1.5,     1.1,     0.7,     0.6,     0.4,     0.8,     2.2,     1.2,     1.1,     1.0,    12.7
002,1,00060581,0-20000-0-60581     ,  31.659,   6.141,  140.0,Algeria                       ,HassiMessaoud                 ,     0.9,     0.6,     0.9,     0.4,     0.6,     0.1,     0.0,     0.1,     0.8,     0.8,     0.7,     0.7,     6.6
002,1,00060640,0-20000-0-60640     ,  26.719,   8.617,  542.0,Algeria                       ,Illizi                        ,     0.3,     0.3,     0.3,     0.4,     0.4,     0.5,     0.0,     0.1,     0.5,     0.6,     0.3,     0.4,     4.1
002,1,00060611,0-20000-0-60611     ,  28.053,   9.640,  560.0,Algeria                       ,InAmenas                      ,     0.4,     0.3,     0.7,     0.5,     0.6,     0.2,     0.0,     0.1,     0.4,     0.9,     0.2,     0.3,     4.6
002,1,00060630,0-20000-0-60630     ,  27.254,   2.512,  268.0,Algeria                       ,InSalah                       ,     0.3,     0.3,     0.3,     0.2,     0.2,     0.2,     0.0,     0.1,     0.5,     0.4,     0.3,     0.1,     2.9
