World Meteorological Organization Climate Normals for 1991-2020
Single Station Data Sheet For All Climatological Surface Parameters

Station Header Record

Country_Name,CONGO
Station_Name,MOUYONDZI

WMO_Number,Latitude,Longitude,Station_Height
64402,03|58|59|S,013|54|58|E,552

WMO Integrated Global Observing System (WIGOS) Station Identifier (if available)
0-20000-0-64402


Principal Climatological Surface Parameters


Parameter_Code,Parameter_Name,Units
1,Precipitation_Total,mm

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
64402,1,Sum,4,164.7,225.7,182.1,209.1,147.7,7.6,5.2,10.2,32.5,165.2,245.4,203.9,1599.3
64402,1,MinMon,17,17.7,85.0,64.1,105.2,9.9,0.0,0.0,0.0,0.0,11.3,115.7,70.7,
64402,1,DMinMon,18,2012,2019,2011,2004,2004,1993,1991,1991,2019,1991,1997,2005,
64402,1,MaxMon,19,349.3,235.0,416.4,360.7,320.6,72.8,53.0,78.7,153.5,448.6,348.7,451.0,
64402,1,DMaxMon,20,2004,1991,2010,2011,2007,2000,2000,1999,2007,2020,2009,2015,
64402,1,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,


Parameter_Code,Parameter_Name,Units
5,Daily_Mean_Temperature,Deg_C

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
64402,5,Mean,1,24.4,24.5,24.9,24.9,24.3,22.2,21.3,22.0,23.2,24.1,24.0,23.9,23.6
64402,5,MinMon,17,22.0,21.5,21.9,21.6,20.8,19.2,17.6,18.6,19.9,20.6,21.1,21.1,
64402,5,DMinMon,18,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,
64402,5,MaxMon,19,26.0,25.6,26.2,26.1,25.8,23.9,22.8,23.7,24.5,26.6,25.3,24.9,
64402,5,DMaxMon,20,2013,2019,2019,2019,2000,2006,2019,2012,2004,2014,2018,2019,
64402,5,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,


Secondary and Other Climatological Surface Parameters (add as needed)


Parameter_Code,Parameter_Name,Units
11,Boundaries_of_quintiles_of_monthly_precipitation,mm

WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
64402,11,Q0,6,17.7,85.0,64.1,105.2,9.9,0.0,0.0,0.0,0.0,11.3,115.7,70.7,,
64402,11,Q1,7,103.1,235.0,127.3,162.6,100.2,0.0,0.0,0.0,6.6,102.9,201.2,136.5,,
64402,11,Q2,8,119.8,235.0,161.6,188.7,126.1,0.4,0.1,0.1,10.9,133.4,239.0,189.8,,
64402,11,Q3,9,164.9,235.0,177.2,203.5,153.8,1.7,0.5,3.6,20.5,161.5,260.7,217.3,,
64402,11,Q4,10,232.6,235.0,225.4,236.3,179.2,6.7,2.1,13.7,47.2,221.1,285.6,240.2,,
64402,11,Q5,11,349.3,235.0,416.4,360.7,320.6,72.8,53.0,78.7,153.5,448.6,348.7,451.0,,
64402,11,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,
