,11,Q1,7,0,0,0,0,6.4,79.2,115.4,125.6,109,27.7,0.3,0,463.6,,,,,,,,,,
,11,Q2,8,1.5,0,0,0,16.2,112.6,142.4,150.4,144.9,48.1,7.1,0.1,623.1,,,,,,,,,,
,11,Q3,9,5.7,0.7,0,0,26.7,147.9,167.6,171.5,158.3,78.2,21.4,2.2,780.2,,,,,,,,,,
,11,Q4,10,13.2,13.7,6.3,0.4,43,158.5,193.1,215.5,211,128.1,38.5,10.2,1031.5,,,,,,,,,,
,11,Q5,11,436.1,168.5,194.5,17.9,98.4,269.4,359.9,314,298.6,245.4,121.5,41.4,2565.6,,,,,,,,,,
,11,NOY,98,30,30,30,29,30,30,30,30,30,30,30,30,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,,
22,Highest_Value_of_Daily_Maximum_Temperature,hours,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,,
76656,22,Deg_C,4,30.7,34,36,37.5,38,38.7,33.7,32.8,31.8,32.4,31.5,30,38.7,,,,,,,,,,
,22,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,
,23,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,,
23,Lowest_Value_of_Daily_Minimum_Temperature,Deg_C,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,,
76656,23,Sum,4,-3.5,-1,0.5,2.5,4.8,10.3,10,10.5,9.7,3.5,1,-1,-3.5,,,,,,,,,,
,23,NOY,98,29,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,,
24,Highest_Value_of_Daily_Precipitation,mm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,,
76656,24,MAX,2,138,94.3,68.3,15.3,46.2,82.4,74.4,64.6,89.8,119.7,67.9,26.7,138,,,,,,,,,,
,24,NOY,98,30,30,30,29,30,30,30,30,30,30,30,30,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,,
26,Mean_Number_of_Days_with_Thunder,Count,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,,
76656,26,Count,5,0.2,0.1,0.2,0.1,1.1,2.4,3.2,2.9,2.5,1.3,0.2,0.1,14.3,,,,,,,,,,
,26,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,,
27,Mean_Number_of_Days_with_Hail,hours,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,,
76656,27,Count,5,0,0.1,0,0,0.1,0.4,0.4,0.3,0.1,0.1,0.1,0,1.5,,,,,,,,,,
,27,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,,
38,Relative_Humidity,hours,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,,
76656,38,Mean,1,67.9,64.6,58.2,51.4,54.4,69.7,74.1,75.8,76.9,71.4,69.3,70.6,67,,,,,,,,,,
,38,NOY,98,29,29,30,30,30,29,29,29,29,29,29,29,29,,,,,,,,,,
