,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,
3,Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,
35997,3,Mean,1,-6.0,-2.9,6.7,18.2,25.3,30.8,32.3,30.6,24.0,15.7,5.2,-3.2,14.7,,,,,,,,,
35997,3,MinMon,17,-13.1,-11.7,-0.3,13.4,22.5,29.1,29.3,28.5,19.7,10.4,-2.1,-8.9,,,,,,,,,,
35997,3,DMinMon,18,2008,2012,1996,2003,1993,2009,2003,2016,1992,2016,1993,1993,,,,,,,,,,
35997,3,MaxMon,19,0.5,4.7,14.6,21.1,29.0,32.4,34.8,33.5,26.1,20.6,9.8,1.7,,,,,,,,,,
35997,3,DMaxMon,20,2002,2020,2002,2020,2001,2005,2015,2002,2016,1997,1994,1996,,,,,,,,,,
35997,3,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,
4,Daily_Minimum_Temperature,Deg_C,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,
35997,4,Mean,1,-14.6,-12.2,-3.8,6.0,12.4,17.8,19.6,17.5,10.8,3.8,-3.7,-10.9,3.6,,,,,,,,,
35997,4,MinMon,17,-22.6,-21.5,-9.8,1.8,9.3,16.0,17.9,15.3,7.1,0.2,-9.5,-18.9,,,,,,,,,,
35997,4,DMinMon,18,2008,2012,1996,1996,1993,2009,2009,1996,1992,1993,1997,1993,,,,,,,,,,
35997,4,MaxMon,19,-5.8,-3.9,2.4,8.9,15.5,19.5,21.7,19.1,13.6,6.7,0.8,-4.0,,,,,,,,,,
35997,4,DMaxMon,20,2016,2002,2002,2016,2020,2012,2015,2019,2016,1999,1994,2015,,,,,,,,,,
35997,4,NOY,98,30,30,30,30,29,30,30,30,30,30,30,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,
5,Daily_Mean_Temperature,Deg_C,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,
35997,5,Mean,1,-10.7,-8.0,0.8,11.8,18.8,24.4,26.0,24.1,17.3,9.2,0.2,-7.3,8.9,,,,,,,,,
35997,5,MinMon,17,-18.3,-17.1,-5.3,7.4,16.0,23.0,23.6,22.6,13.5,5.7,-5.3,-13.8,,,,,,,,,,
35997,5,DMinMon,18,2008,2012,1996,2003,1993,2009,2003,1996,1992,2000,1993,1993,,,,,,,,,,
35997,5,MaxMon,19,-3.7,-0.3,7.6,14.6,21.6,26.1,28.3,26.3,19.6,11.9,4.6,-1.4,,,,,,,,,,
35997,5,DMaxMon,20,2016,2002,2002,2020,2001,2005,2015,1998,2016,1997,1994,2015,,,,,,,,,,
35997,5,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,
6,Mean_Sea_Level_Pressure,hPa,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,
35997,6,Mean,1,1030.4,1028.2,1023.6,1018.6,1014.1,1007.6,1004.9,1008.5,1015.7,1023.0,1027.6,1030.8,1019.4,,,,,,,,,
35997,6,MinMon,17,1024.6,1022.7,1017.6,1015.0,1010.5,1004.5,1003.1,1006.3,1012.1,1019.2,1022.3,1026.3,,,,,,,,,,
35997,6,DMinMon,18,1997,2007,2018,1997,2008,2011,2007,2002,2016,1997,1994,2016,,,,,,,,,,
35997,6,MaxMon,19,1036.2,1034.9,1029.0,1022.1,1017.9,1010.1,1007.2,1011.2,1020.3,1028.2,1033.2,1038.2,,,,,,,,,,
35997,6,DMaxMon,20,2008,2014,2011,2003,2019,2009,1992,2016,1994,2020,2019,2020,,,,,,,,,,
35997,6,NOY,98,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,,,,,,,,,,
7,Mean_Vapor_Pressure,hPa,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual,,,,,,,,,
35997,7,Mean,1,2.5,3.0,4.9,7.7,10.0,12.6,14.0,12.6,8.9,7.0,5.0,3.2,7.6,,,,,,,,,
35997,7,MinMon,17,1.2,1.3,3.5,5.9,7.0,10.0,10.5,10.6,7.2,5.4,3.6,2.0,,,,,,,,,,
35997,7,DMinMon,18,2011,2012,1999,1991,1991,2020,2014,1992,1993,2020,2020,1993,,,,,,,,,,
35997,7,MaxMon,19,4.1,5.0,6.9,10.5,14.3,16.7,17.6,16.3,11.3,8.7,6.9,4.7,,,,,,,,,,
35997,7,DMaxMon,20,2016,2002,2016,2016,1997,1994,1994,1994,2009,2008,1994,2015,,,,,,,,,,
35997,7,NOY,98,28,28,30,30,30,30,30,30,30,30,29,29,,,,,,,,,,
