World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,INDIA,,,,,,,,,,,,,,,
Station_Name,NANDURBAR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
42846,21|20|00|N,74|15|00|E,206,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Secondary and Other Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
22,Highest_Value_of_Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
42846,22,Max,2,35.9,39.6,43.3,45.6,46,43.8,39,38.8,38.6,40.2,38.2,34.9,46
42846,22,MaxDate,15,1958/06,1980/22,1956/31,1958/25,1960/11,1979/06,1966/12,1954/09,1974/16,1980/12,1977/02,1958/31,1960/05/11
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
23,Lowest_Value_of_Daily_Minimum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
42846,23,Min,2,8.1,7.3,13.3,18.6,18.8,19.5,19.5,19.5,19.2,15.1,8.7,9.1,7.3
42846,23,MinDate,16,1964/25,1972/14,1971/01,1965/03,1988/12,1972/12,1977/26,1977/18,1976/19,1964/27,1967/09,1968/26,1972/02/14
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
24,Highest_Value_of_Daily_Precipitation,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
42846,24,Max,2,21,25,15,41.2,76.2,190,167.5,176.4,140,163,81.4,41,190
42846,24,MaxDate,15,1963/15,1999/04,1979/03,1958/30,1956/31,2003/22,1958/09,1968/06,1990/29,1959/10,1978/29,2020/12,2003/06/22
