World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,INDIA,,,,,,,,,,,,,,,
Station_Name,SHIMLA AIRPORT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
42084,31|4|00|N,77|4|00|E,1546.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Secondary and Other Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
22,Highest_Value_of_Daily_Maximum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
42084,22,Max,2,21.6,22.4,29.6,33.4,37.7,35.4,33.5,32.6,27.5,28,26.1,26.5,37.7
42084,22,MaxDate,15,2018/30,2010/28,2010/22,2010/18,2012/22,2019/11,2012/01,2015/31,2009/29,2020/02,2016/09,2016/21,2012/05/22
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
23,Lowest_Value_of_Daily_Minimum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
42084,23,Min,2,-1.4,-0.8,0.5,8.5,10.6,12.2,11.9,15.6,12.5,7.4,4.4,-0.1,-1.4
42084,23,MinDate,16,2017/11,2012/09,2014/21,2014/19,2020/07,2011/02,2017/25,2009/19,2013/16,2012/24,2012/30,2020/28,2017/01/11
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
24,Highest_Value_of_Daily_Precipitation,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
42084,24,Max,2,62.1,64.6,68,31.8,62,107.6,100.8,146.2,77.2,21.5,20.6,67.8,146.2
42084,24,MaxDate,15,2013/18,2013/06,2015/02,2017/06,2016/11,2010/09,2015/17,2018/13,2010/23,2013/01,2020/16,2010/31,2018/08/13
