World Meteorological Organization Climate Normals for 1991-2020,,,,,,,,,,,,,,,,
Single Station Data Sheet For All Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Station Header Record,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country_Name,Fiji,,,,,,,,,,,,,,,
Station_Name,Koronivia Research Station,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Latitude,Longitude,Station_Height,,,,,,,,,,,,,
,18|03|02|S,178|31|43|E,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO Integrated Global Observing System (WIGOS) Station Identifier (if available),,,,,,,,,,,,,,,,
0-242-3-88053,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Principal Climatological Surface Parameters,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
1,Precipitation_Total,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,3,MinMon,17,29.6,30.1,30.1,28,26.9,26.2,25.5,24.5,25.1,26.6,27.2,28.6,
,3,DMinMon,18,1993,1993,1993,1992,1994,1994,1993,1993,1994,1993,2009,2009,
,3,MaxMon,19,32,32.2,32.3,31.4,29.9,29.5,28.3,28.2,28.8,29.6,30.6,31.8,
,3,DMaxMon,20,2000,2015,2000,2006,2011,2011,2007,2010,2019,2012,1998,1998,
,3,NOY,98,28,28,26,28,30,29,30,30,28,30,30,29,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
4,Daily_Minimum_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,4,Mean,1,23.1,23.4,23.5,22.9,21.6,20.9,20,20,20.6,21.2,22.1,22.9,21.9
,4,MinMon,17,18.9,22.6,21.8,21.6,20.4,18.6,18.4,18.5,18.4,18.9,19.9,20.7,
,4,DMinMon,18,1997,2019,2019,2015,1991,1991,2006,2005,1993,1994,2018,2018,
,4,MaxMon,19,24.2,24.4,24.1,23.8,23,22.6,21.4,21.5,22.8,22.6,23.4,24,
,4,DMaxMon,20,2005,2016,2016,2002,2010,2010,2002,2012,2007,2007,2017,2003,
,4,NOY,98,27,29,29,27,29,29,29,28,28,29,28,27,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
5,Daily_Mean_Temperature,Deg_C,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,5,Mean,1,26.9,27.2,27.3,26.6,25.2,24.4,23.5,23.4,23.9,24.7,25.6,26.5,25.4
,5,MinMon,17,25,26.6,26.1,25.2,23.9,22.5,22.3,21.7,21.9,22.9,24.3,25.5,
,5,DMinMon,18,1997,1993,2019,1992,1994,1994,1994,1993,1994,1994,2009,2018,
,5,MaxMon,19,27.9,27.8,28,27.5,26.4,25.9,24.6,24.7,25.5,26,26.9,27.9,
,5,DMaxMon,20,2000,2002,2000,2006,2010,2010,1999,2008,2007,2012,2013,1998,
,5,NOY,98,26,27,25,26,29,28,29,28,26,29,28,26,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Secondary and Other Climatological Surface Parameters (add as needed),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parameter_Code,Parameter_Name,Units,,,,,,,,,,,,,,
11,Boundaries_of_quintiles_of_monthly_precipitation,mm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
WMO_Number,Parameter_Code,Calculation_Name,Calculation_Code,January,February,March,April,May,June,July,August,September,October,November,December,Annual
,11,Q0,6,65.7,27,84.1,57.3,18.3,40,53.6,18.5,22.8,36.6,63.7,68.7,
,11,Q1,7,202.8,187.7,222.7,175.9,150.5,81.6,83.7,82.9,93.7,120.1,107.2,206.4,
,11,Q2,8,290.2,239.4,316.9,266,193,106.8,117.8,99.1,142,185.3,173.6,268.1,
,11,Q3,9,392.5,332.8,419.5,319.4,226.1,176.7,144.5,150.5,145.5,264.6,232.6,318.1,
,11,Q4,10,513.1,363.5,497.1,429.6,287.5,210.1,176,209.4,256.2,396.2,382.3,401.8,
,11,Q5,11,707.9,596.7,818.2,982.5,347.1,414.8,273.9,391.9,484.9,547.3,616.7,925.4,
,11,NOY,98,29,29,29,28,29,30,28,28,28,29,28,29,
