Rgn,Country                     , Status   ,Latitude,  Longtiude,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8, Filename 
1,Benin                         ,WMO_Member,   8.033,   2.467,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,MNVP,TSUN, Save_65335.csv                                                   
1,Burkina_Faso                  ,WMO_Member,  11.170,  -4.300,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, BOBO-DIOULASSO_65510.csv                                         
1,Burkina_Faso                  ,WMO_Member,  12.980,  -0.160,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, BOGANDE_65504.csv                                                
1,Burkina_Faso                  ,WMO_Member,  11.730,  -2.920,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, BOROMO_65516.csv                                                 
1,Burkina_Faso                  ,WMO_Member,  12.470,  -3.480,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, DEDOUGOU_65505.csv                                               
1,Burkina_Faso                  ,WMO_Member,  14.030,  -0.030,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, DORI_65501.csv                                                   
1,Burkina_Faso                  ,WMO_Member,  12.070,   0.350,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, FADA-NGOURMA_65507.csv                                           
1,Burkina_Faso                  ,WMO_Member,  10.330,  -3.180,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, GAOUA_65522.csv                                                  
1,Burkina_Faso                  ,WMO_Member,  12.350,  -2.180,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, OUAGADOUGOU_65503.csv                                            
1,Burkina_Faso                  ,WMO_Member,  13.580,  -2.430,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, OUAHIGOUYA_65502.csv                                             
1,Burkina_Faso                  ,WMO_Member,  11.170,  -1.150,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,TSUN, PO_65518.csv                                                     
1,Cabo_Verde_Republic           ,WMO_Member,  16.833, -25.483,    ,    ,TMAX,TMIN,TAVG,MSLP,    ,    , MINDELO_8583.csv                                                 
1,Cabo_Verde_Republic           ,WMO_Member,  14.924, -23.494,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , PRAIA_8589.csv                                                   
1,Cabo_Verde_Republic           ,WMO_Member,  16.733, -22.933,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,    ,    , SAL_8594.csv                                                     
1,Cameroon                      ,WMO_Member,   4.017,   9.733,PRCP,    ,    ,    ,    ,    ,    ,    , DOUALA_64910.csv                                                 
1,Cameroon                      ,WMO_Member,   9.336,  13.381,PRCP,    ,    ,    ,    ,    ,    ,    , GAROUA_64860.csv                                                 
1,Cameroon                      ,WMO_Member,  10.450,  14.250,PRCP,    ,    ,    ,    ,    ,    ,    , MAROUA_64851.csv                                                 
1,Cameroon                      ,WMO_Member,   7.350,  13.567,PRCP,    ,    ,    ,    ,    ,    ,    , NGAOUNDERE_64870.csv                                             
1,Cameroon                      ,WMO_Member,   3.842,  11.524,PRCP,    ,    ,    ,    ,    ,    ,    , YAOUNDE_64950.csv                                                
1,Central_African_Republic      ,WMO_Member,   4.400,  18.517,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,MNVP,TSUN, Bangui_64650.csv                                                 
1,Central_African_Republic      ,WMO_Member,   4.217,  15.783,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,MNVP,TSUN, Berberati_64600.csv                                              
1,Central_African_Republic      ,WMO_Member,   5.933,  15.633,PRCP,DP01,TMAX,TMIN,TAVG,    ,MNVP,    , Bouar_64601.csv                                                  
1,Cote_d'Ivoire                 ,WMO_Member,   5.250,  -3.930,PRCP,DP01,TMAX,    ,    ,MSLP,MNVP,TSUN, ABIDJAN_65578.csv                                                
1,Cote_d'Ivoire                 ,WMO_Member,   5.300,  -3.300,PRCP,DP01,TMAX,    ,    ,    ,MNVP,TSUN, ADIAKE_65585.csv                                                 
1,Cote_d'Ivoire                 ,WMO_Member,   8.050,  -2.780,PRCP,DP01,TMAX,    ,    ,MSLP,MNVP,    , BONDOUKOU_65545.csv                                              
1,Cote_d'Ivoire                 ,WMO_Member,   7.730,  -5.070,PRCP,DP01,    ,    ,    ,MSLP,MNVP,    , BOUAKE_65555.csv                                                 
1,Cote_d'Ivoire                 ,WMO_Member,   6.870,  -6.470,PRCP,DP01,TMAX,    ,    ,MSLP,MNVP,    , DALOA_65560.csv                                                  
