Elem,Rgn,Country                     , Status   ,Latitude,  Longtiude, Filename 
MNVP,1,Libya                         ,WMO_Member,  32.100,   23.933,  TOBRUK_62062.csv                                                 
MNVP,1,Libya                         ,WMO_Member,  32.083,   12.550,  YEFREN_62008.csv                                                 
MNVP,1,Libya                         ,WMO_Member,  32.883,   12.083,  ZUARA_62007.csv                                                  
MNVP,1,Mali                          ,WMO_Member,  15.200,   -9.400,  NIORORDUSAHELE_61230.csv                                         
MNVP,1,Mali                          ,WMO_Member,  11.400,   -5.700,  Sikasso_61297.csv                                                
MNVP,1,Mauritius                     ,WMO_Member, -10.379,   56.609,  Agalega_61974.csv                                                
MNVP,1,Mauritius                     ,WMO_Member, -20.435,   57.683,  Plaisance_61990.csv                                              
MNVP,1,Mauritius                     ,WMO_Member, -19.681,   63.426,  Pointe_Canon_61988.csv                                           
MNVP,1,Mauritius                     ,WMO_Member, -16.450,   59.617,  St_Brandon_61986.csv                                             
MNVP,1,Mauritius                     ,WMO_Member, -20.298,   57.495,  Vacoas_61995.csv                                                 
MNVP,1,Morocco                       ,WMO_Member,  30.379,   -9.559,  AGADIRINEZGANNE_60250.csv                                        
MNVP,1,Morocco                       ,WMO_Member,  35.179,   -3.840,  ALHOUCEIMA_60107.csv                                             
MNVP,1,Morocco                       ,WMO_Member,  32.518,   -1.966,  BOUARFA_60200.csv                                                
MNVP,1,Morocco                       ,WMO_Member,  33.559,   -7.667,  CASABLANCAANFA_60155.csv                                         
MNVP,1,Morocco                       ,WMO_Member,  23.717,  -15.933,  DAKHLA_60096.csv                                                 
MNVP,1,Morocco                       ,WMO_Member,  31.947,   -4.406,  ERRACHIDIA_60210.csv                                             
MNVP,1,Morocco                       ,WMO_Member,  31.510,   -9.773,  ESSAOUIRA_60220.csv                                              
MNVP,1,Morocco                       ,WMO_Member,  33.967,   -4.983,  FESSAIS_60141.csv                                                
MNVP,1,Morocco                       ,WMO_Member,  29.029,  -10.048,  GUELMIM_60280.csv                                                
MNVP,1,Morocco                       ,WMO_Member,  33.501,   -5.161,  IFRANE_60160.csv                                                 
MNVP,1,Morocco                       ,WMO_Member,  34.300,   -6.600,  KENITRA_60120.csv                                                
MNVP,1,Morocco                       ,WMO_Member,  27.148,  -13.230,  LAAYOUNE_60033.csv                                               
MNVP,1,Morocco                       ,WMO_Member,  35.163,   -6.117,  LARACHE_60105.csv                                                
MNVP,1,Morocco                       ,WMO_Member,  31.611,   -8.029,  MARRAKECH_60230.csv                                              
MNVP,1,Morocco                       ,WMO_Member,  33.879,   -5.521,  MEKNES_60150.csv                                                 
MNVP,1,Morocco                       ,WMO_Member,  30.936,   -6.910,  OUARZAZATE_60265.csv                                             
MNVP,1,Morocco                       ,WMO_Member,  34.784,   -1.939,  OUJDA_60115.csv                                                  
MNVP,1,Morocco                       ,WMO_Member,  34.050,   -6.767,  RABATSALE_60135.csv                                              
MNVP,1,Morocco                       ,WMO_Member,  32.276,   -9.238,  SAFI_60185.csv                                                   
MNVP,1,Morocco                       ,WMO_Member,  28.447,  -11.158,  TANTAN_60285.csv                                                 
MNVP,1,Morocco                       ,WMO_Member,  34.217,   -4.000,  TAZA_60127.csv                                                   
MNVP,1,Morocco                       ,WMO_Member,  35.593,   -5.332,  TETOUAN_60318.csv                                                
MNVP,1,Niger                         ,WMO_Member,  16.967,    7.983,  Agadez_Aero_61024.csv                                            
MNVP,1,Niger                         ,WMO_Member,  18.683,   12.917,  Bilma_61017.csv                                                  
MNVP,1,Niger                         ,WMO_Member,  13.800,    5.283,  Birni_NKonni_61075.csv                                           
MNVP,1,Niger                         ,WMO_Member,  13.417,   12.783,  Diffa_61085.csv                                                  
MNVP,1,Niger                         ,WMO_Member,  13.017,    3.183,  Dosso_61053.csv                                                  
MNVP,1,Niger                         ,WMO_Member,  11.883,    3.450,  Gaya_61099.csv                                                   
MNVP,1,Niger                         ,WMO_Member,  13.967,   10.267,  Goure_61045.csv                                                  
MNVP,1,Niger                         ,WMO_Member,  12.983,    8.983,  Magaria_61091.csv                                                
MNVP,1,Niger                         ,WMO_Member,  13.233,   11.983,  Maine_Soroa_61096.csv                                            
MNVP,1,Niger                         ,WMO_Member,  13.467,    7.083,  Maradi_Aero_61080.csv                                            
MNVP,1,Niger                         ,WMO_Member,  14.250,   13.117,  NGuigmi_61049.csv                                                
MNVP,1,Niger                         ,WMO_Member,  13.483,    2.167,  Niamey_Aero_61052.csv                                            
MNVP,1,Niger                         ,WMO_Member,  14.900,    5.250,  Tahoua_Aero_61043.csv                                            
MNVP,1,Niger                         ,WMO_Member,  14.200,    1.450,  Tillabery_61036.csv                                              
MNVP,1,Niger                         ,WMO_Member,  13.767,    8.983,  Zinder_Aero_61090.csv                                            
MNVP,1,Dem._Rep._Congo               ,WMO_Member,  -4.250,   15.250,  BRAZZAVILLE_64450.csv                                            
MNVP,1,Dem._Rep._Congo               ,WMO_Member,  -2.530,   14.766,  DJAMBALA_64453.csv                                               
MNVP,1,Dem._Rep._Congo               ,WMO_Member,  -4.816,   11.750,  POINTENOIRE_64400.csv                                            
MNVP,1,Seychelles                    ,WMO_Member,  -4.671,   55.514,  SeychellesIntlAirport_63980.csv                                  
MNVP,1,Tunisia                       ,WMO_Member,  36.733,    9.183,  Beja_60723.csv                                                   
MNVP,1,Tunisia                       ,WMO_Member,  37.250,    9.800,  Bizerte_60714.csv                                                
MNVP,1,Tunisia                       ,WMO_Member,  31.683,    9.300,  ElBorma_60780.csv                                                
MNVP,1,Tunisia                       ,WMO_Member,  33.883,   10.100,  Gabes_60765.csv                                                  
MNVP,1,Tunisia                       ,WMO_Member,  34.417,    8.817,  Gafsa_60745.csv                                                  
MNVP,1,Tunisia                       ,WMO_Member,  36.483,    8.800,  Jendouba_60725.csv                                               
MNVP,1,Tunisia                       ,WMO_Member,  33.867,   10.767,  Jerba_60769.csv                                                  
MNVP,1,Tunisia                       ,WMO_Member,  35.667,   10.100,  Kairouan_60735.csv                                               
MNVP,1,Tunisia                       ,WMO_Member,  35.167,    8.783,  Kasserine_60739.csv                                              
MNVP,1,Tunisia                       ,WMO_Member,  33.700,    8.967,  Kebili_60764.csv                                                 
MNVP,1,Tunisia                       ,WMO_Member,  36.850,   11.083,  Kelibia_60720.csv                                                
MNVP,1,Tunisia                       ,WMO_Member,  36.133,    8.700,  LeKef_60732.csv                                                  
MNVP,1,Tunisia                       ,WMO_Member,  35.500,   10.067,  Mahdia_60742.csv                                                 
