Elem,Rgn,Country                     , Status   ,Latitude,  Longtiude, Filename 
PRCP,1,Algeria                       ,WMO_Member,  27.837,   -0.194,  Adrar_60620.csv                                                  
PRCP,1,Algeria                       ,WMO_Member,  32.752,   -0.594,  AinSefra_60560.csv                                               
PRCP,1,Algeria                       ,WMO_Member,  36.690,    3.217,  AlgerDarElBeida_60390.csv                                        
PRCP,1,Algeria                       ,WMO_Member,  36.822,    7.803,  Annaba_60360.csv                                                 
PRCP,1,Algeria                       ,WMO_Member,  35.761,    6.320,  Batna_60468.csv                                                  
PRCP,1,Algeria                       ,WMO_Member,  36.068,    4.794,  BBArreridj_60444.csv                                             
PRCP,1,Algeria                       ,WMO_Member,  21.376,    0.932,  BBMokhtar_60686.csv                                              
PRCP,1,Algeria                       ,WMO_Member,  31.654,   -2.252,  Bechar_60571.csv                                                 
PRCP,1,Algeria                       ,WMO_Member,  36.716,    5.075,  BejaiaAeroport_60402.csv                                         
PRCP,1,Algeria                       ,WMO_Member,  30.128,   -2.149,  BeniAbbes_60602.csv                                              
PRCP,1,Algeria                       ,WMO_Member,  35.301,   -1.395,  BeniSaf_60518.csv                                                
PRCP,1,Algeria                       ,WMO_Member,  34.795,    5.731,  Biskra_60525.csv                                                 
PRCP,1,Algeria                       ,WMO_Member,  36.216,    1.322,  Chlef_60425.csv                                                  
PRCP,1,Algeria                       ,WMO_Member,  36.278,    6.628,  Constantine_60419.csv                                            
PRCP,1,Algeria                       ,WMO_Member,  24.288,    9.468,  Djanet_60670.csv                                                 
PRCP,1,Algeria                       ,WMO_Member,  34.654,    3.281,  Djelfa_60535.csv                                                 
PRCP,1,Algeria                       ,WMO_Member,  33.720,    1.095,  ElBayadh_60550.csv                                               
PRCP,1,Algeria                       ,WMO_Member,  30.573,    2.868,  ElGolea_60590.csv                                                
PRCP,1,Algeria                       ,WMO_Member,  34.154,    0.065,  ElKheiter_60540.csv                                              
PRCP,1,Algeria                       ,WMO_Member,  33.506,    6.788,  ElOued_60559.csv                                                 
PRCP,1,Algeria                       ,WMO_Member,  32.386,    3.784,  Ghardaia_60566.csv                                               
PRCP,1,Algeria                       ,WMO_Member,  31.659,    6.141,  HassiMessaoud_60581.csv                                          
PRCP,1,Algeria                       ,WMO_Member,  26.719,    8.617,  Illizi_60640.csv                                                 
