Elem,Rgn,Country                     , Status   ,Latitude,  Longtiude, Filename 
MSLP,1,Algeria                       ,WMO_Member,  27.837,   -0.194,  Adrar_60620.csv                                                  
MSLP,1,Algeria                       ,WMO_Member,  36.690,    3.217,  AlgerDarElBeida_60390.csv                                        
MSLP,1,Algeria                       ,WMO_Member,  36.822,    7.803,  Annaba_60360.csv                                                 
MSLP,1,Algeria                       ,WMO_Member,  36.716,    5.075,  BejaiaAeroport_60402.csv                                         
MSLP,1,Algeria                       ,WMO_Member,  30.128,   -2.149,  BeniAbbes_60602.csv                                              
MSLP,1,Algeria                       ,WMO_Member,  35.301,   -1.395,  BeniSaf_60518.csv                                                
MSLP,1,Algeria                       ,WMO_Member,  34.795,    5.731,  Biskra_60525.csv                                                 
MSLP,1,Algeria                       ,WMO_Member,  36.216,    1.322,  Chlef_60425.csv                                                  
MSLP,1,Algeria                       ,WMO_Member,  36.278,    6.628,  Constantine_60419.csv                                            
MSLP,1,Algeria                       ,WMO_Member,  30.573,    2.868,  ElGolea_60590.csv                                                
MSLP,1,Algeria                       ,WMO_Member,  33.506,    6.788,  ElOued_60559.csv                                                 
MSLP,1,Algeria                       ,WMO_Member,  32.386,    3.784,  Ghardaia_60566.csv                                               
MSLP,1,Algeria                       ,WMO_Member,  31.659,    6.141,  HassiMessaoud_60581.csv                                          
MSLP,1,Algeria                       ,WMO_Member,  26.719,    8.617,  Illizi_60640.csv                                                 
MSLP,1,Algeria                       ,WMO_Member,  28.053,    9.640,  InAmenas_60611.csv                                               
MSLP,1,Algeria                       ,WMO_Member,  27.254,    2.512,  InSalah_60630.csv                                                
MSLP,1,Algeria                       ,WMO_Member,  36.795,    5.877,  JijelAeroport_60351.csv                                          
MSLP,1,Algeria                       ,WMO_Member,  36.306,    2.228,  Miliana_60430.csv                                                
MSLP,1,Algeria                       ,WMO_Member,  35.912,    0.110,  Mostaganem_60457.csv                                             
MSLP,1,Algeria                       ,WMO_Member,  35.631,   -0.604,  OranSennia_60490.csv                                             
MSLP,1,Algeria                       ,WMO_Member,  31.936,    5.412,  Ouargla_60580.csv                                                
MSLP,1,Algeria                       ,WMO_Member,  35.174,   -0.595,  SidiBelAbbes_60520.csv                                           
MSLP,1,Algeria                       ,WMO_Member,  29.244,    0.284,  Timimoun_60607.csv                                               
MSLP,1,Algeria                       ,WMO_Member,  36.724,    4.019,  TiziOuzou_60395.csv                                              
